2022 06-30, 18:51, 0.76 ms , 952.59 Mbps , 948.72 Mbps ,
2022 06-30, 19:21, 0.72 ms , 948.80 Mbps , 948.95 Mbps ,
2022 06-30, 19:51, 0.94 ms , 949.97 Mbps , 610.12 Mbps ,
2022 06-30, 20:21, 0.86 ms , 948.13 Mbps , FAILED ,
2022 06-30, 20:52,
2022 06-30, 21:22,
2022 06-30, 21:52,
2022 06-30, 22:22, 0.92 ms , 948.66 Mbps , 0.22 Mbps ,
2022 06-30, 22:52, 0.85 ms , 947.89 Mbps , 6.07 Mbps ,
2022 06-30, 23:23, 0.90 ms , 946.78 Mbps , 0.06 Mbps ,
2022 06-30, 23:53, 0.91 ms , 948.21 Mbps , FAILED ,
2022 07-01, 00:24, 0.91 ms , 946.32 Mbps , 5.12 Mbps ,
2022 07-01, 00:54, 0.89 ms , 947.95 Mbps , 130.11 Mbps ,
2022 07-01, 01:24, 0.81 ms , 949.74 Mbps , 25.34 Mbps ,
2022 07-01, 01:55, 0.93 ms , 946.38 Mbps , 0.16 Mbps ,
2022 07-01, 02:25, 0.82 ms , 950.77 Mbps , 0.20 Mbps ,
2022 07-01, 02:55, 0.90 ms , 948.37 Mbps , 6.28 Mbps ,
2022 07-01, 03:26, 0.85 ms , 949.57 Mbps , 39.76 Mbps ,
2022 07-01, 03:56, 0.89 ms , 947.11 Mbps , 0.05 Mbps ,
2022 07-01, 04:26, 0.91 ms , 947.02 Mbps , FAILED ,
2022 07-01, 04:57, 0.91 ms , 947.66 Mbps , FAILED ,
2022 07-01, 05:27, 0.83 ms , 949.60 Mbps , FAILED ,
2022 07-01, 05:57, 0.83 ms , 947.96 Mbps , FAILED ,
2022 07-01, 06:28, 0.92 ms , 940.12 Mbps , FAILED ,
2022 07-01, 06:58, 0.80 ms , 947.48 Mbps , FAILED ,
2022 07-01, 07:28, 0.84 ms , 946.43 Mbps , FAILED ,
2022 07-01, 07:58,
2022 07-01, 08:29,
2022 07-01, 08:59, 0.95 ms , 949.07 Mbps , 948.72 Mbps ,
2022 07-01, 09:29, 0.89 ms , 948.68 Mbps , 765.93 Mbps ,
2022 07-01, 09:59, 0.81 ms , 939.96 Mbps , FAILED ,
2022 07-01, 10:30, 0.86 ms , 943.85 Mbps , 0.64 Mbps ,
2022 07-01, 10:39, 0.53 ms , 946.25 Mbps , 198.92 Mbps ,
2022 07-01, 11:09, 0.87 ms , 947.33 Mbps , 12.30 Mbps ,
2022 07-01, 11:40, 0.94 ms , 949.75 Mbps , 340.13 Mbps ,
2022 07-01, 12:10, 0.78 ms , 949.41 Mbps , 844.60 Mbps ,
2022 07-01, 12:40, 0.74 ms , 951.19 Mbps , 0.20 Mbps ,
2022 07-01, 13:10, 0.93 ms , 950.96 Mbps , 280.07 Mbps ,
2022 07-01, 13:41, 0.87 ms , 949.07 Mbps , 1.28 Mbps ,
2022 07-01, 14:11, 0.87 ms , 946.03 Mbps , 0.20 Mbps ,
2022 07-01, 14:42, 0.79 ms , 945.97 Mbps , 947.88 Mbps ,
2022 07-01, 15:12, 0.80 ms , 947.25 Mbps , 948.50 Mbps ,
2022 07-01, 15:42, 0.92 ms , 950.41 Mbps , 168.24 Mbps ,
2022 07-01, 16:12, 0.78 ms , 949.77 Mbps , 805.36 Mbps ,
2022 07-01, 16:43, 0.82 ms , 947.90 Mbps , 948.70 Mbps ,
2022 07-01, 17:13, 0.88 ms , 949.45 Mbps , 935.90 Mbps ,
2022 07-01, 17:43, 0.75 ms , 946.41 Mbps , 948.67 Mbps ,
2022 07-01, 18:13, 0.68 ms , 947.76 Mbps , 947.83 Mbps ,
2022 07-01, 18:43, 0.89 ms , 947.56 Mbps , 56.46 Mbps ,
2022 07-01, 19:14,
2022 07-01, 19:44, 0.89 ms , 949.03 Mbps , 791.14 Mbps ,
2022 07-01, 20:14, 0.92 ms , 949.25 Mbps , 0.60 Mbps ,
2022 07-01, 20:44,
2022 07-01, 21:14, 0.93 ms , 950.31 Mbps , 14.01 Mbps ,
2022 07-01, 21:45, 0.94 ms , 949.65 Mbps , 635.29 Mbps ,
2022 07-01, 22:15, 0.89 ms , 948.73 Mbps , 942.69 Mbps ,
2022 07-01, 22:45, 0.69 ms , 946.92 Mbps , 948.99 Mbps ,
2022 07-01, 23:15, 0.81 ms , 953.54 Mbps , 948.68 Mbps ,
2022 07-01, 23:46, 0.88 ms , 948.01 Mbps , 845.17 Mbps ,
2022 07-01, 23:55, 0.85 ms , 947.09 Mbps , 947.31 Mbps ,
